Date,HomeTeam,AwayTeam,FTHG,FTAG,HA_Scored,Note
20/08/10,Bayern Munich,Wolfsburg,2,1,1,0.04198057499844161
21/08/10,FC Koln,Kaiserslautern,1,3,1,0.04198057499844161
21/08/10,Freiburg,St Pauli,1,3,1,0.04198057499844161
21/08/10,Hamburg,Schalke 04,2,1,1,0.04198057499844161
21/08/10,Hannover,Ein Frankfurt,2,1,1,0.04198057499844161
21/08/10,Hoffenheim,Werder Bremen,4,1,1,0.04198057499844161
21/08/10,M'gladbach,Nurnberg,1,1,1,0.04198057499844161
22/08/10,Dortmund,Leverkusen,0,2,0,0.0
22/08/10,Mainz,Stuttgart,2,0,0,0.0
27/08/10,Kaiserslautern,Bayern Munich,2,0,0,0.037739231429581375
28/08/10,Ein Frankfurt,Hamburg,1,3,1,0.08396114999688321
28/08/10,Nurnberg,Freiburg,1,2,1,0.08396114999688321
28/08/10,Schalke 04,Hannover,1,2,1,0.08396114999688321
28/08/10,St Pauli,Hoffenheim,0,1,0,0.037739231429581375
28/08/10,Werder Bremen,FC Koln,4,2,1,0.08396114999688321
28/08/10,Wolfsburg,Mainz,3,4,1,0.06297086249766241
29/08/10,Leverkusen,M'gladbach,3,6,1,0.06297086249766241
29/08/10,Stuttgart,Dortmund,1,3,1,0.04198057499844161
10/09/10,Hoffenheim,Schalke 04,2,0,0,0.06297086249766241
11/09/10,Bayern Munich,Werder Bremen,0,0,0,0.06297086249766241
11/09/10,Dortmund,Wolfsburg,2,0,0,0.06085019071323229
11/09/10,Freiburg,Stuttgart,2,1,1,0.11131345284939437
11/09/10,Hamburg,Nurnberg,1,1,1,0.13866575570190554
11/09/10,Hannover,Leverkusen,2,2,1,0.11131345284939437
11/09/10,M'gladbach,Ein Frankfurt,0,4,0,0.08396114999688321
12/09/10,FC Koln,St Pauli,1,0,0,0.06297086249766241
12/09/10,Mainz,Kaiserslautern,2,1,1,0.08820249356574345
17/09/10,Ein Frankfurt,Freiburg,0,1,0,0.104951437496104
18/09/10,Bayern Munich,FC Koln,0,0,0,0.06297086249766241
18/09/10,Kaiserslautern,Hoffenheim,2,2,1,0.104951437496104
18/09/10,Stuttgart,M'gladbach,7,0,0,0.08396114999688321
18/09/10,Werder Bremen,Mainz,0,2,0,0.08396114999688321
18/09/10,Wolfsburg,Hannover,2,0,0,0.104951437496104
19/09/10,Leverkusen,Nurnberg,0,0,0,0.11131345284939437
19/09/10,Schalke 04,Dortmund,1,3,1,0.11555479641825461
19/09/10,St Pauli,Hamburg,1,1,1,0.1344244121330453
21/09/10,Hannover,Werder Bremen,4,1,1,0.17025940212327692
21/09/10,Hoffenheim,Bayern Munich,1,2,1,0.11131345284939437
21/09/10,Mainz,FC Koln,2,0,0,0.08396114999688321
22/09/10,Dortmund,Kaiserslautern,5,0,0,0.10707210928053415
22/09/10,Freiburg,Schalke 04,1,2,1,0.19337036140692784
22/09/10,Hamburg,Wolfsburg,1,3,1,0.19549103319135797
22/09/10,Leverkusen,Ein Frankfurt,2,1,1,0.13866575570190554
22/09/10,M'gladbach,St Pauli,1,2,1,0.13866575570190554
22/09/10,Nurnberg,Stuttgart,2,1,1,0.16177671498555646
24/09/10,FC Koln,Hoffenheim,1,1,1,0.16177671498555646
25/09/10,Bayern Munich,Mainz,1,2,1,0.13866575570190554
25/09/10,Ein Frankfurt,Nurnberg,2,0,0,0.1554146996322661
25/09/10,Schalke 04,M'gladbach,2,2,1,0.2186019924750089
25/09/10,St Pauli,Dortmund,1,3,1,0.1681387303388468
25/09/10,Stuttgart,Leverkusen,1,4,1,0.18488767426920738
25/09/10,Werder Bremen,Hamburg,3,2,1,0.2438336235430899
26/09/10,Kaiserslautern,Hannover,0,1,0,0.14693201249454563
26/09/10,Wolfsburg,Freiburg,2,1,1,0.2079986335528583
01/10/10,Hannover,St Pauli,0,1,0,0.19337036140692784
02/10/10,Freiburg,FC Koln,3,2,1,0.2565576542496706
02/10/10,Hamburg,Kaiserslautern,2,1,1,0.29239264423990224
02/10/10,Mainz,Hoffenheim,4,2,1,0.2186019924750089
02/10/10,M'gladbach,Wolfsburg,1,1,1,0.2523163106808104
02/10/10,Nurnberg,Schalke 04,2,1,1,0.2775479417488914
03/10/10,Dortmund,Bayern Munich,2,0,0,0.11957970964203446
