Date,HomeTeam,AwayTeam,FTHG,FTAG,HA_Scored,Total_Goals,Note
20/08/10,Bayern Munich,Wolfsburg,2,1,1,3,0.0
21/08/10,FC Koln,Kaiserslautern,1,3,1,4,0.0
21/08/10,Freiburg,St Pauli,1,3,1,4,0.0
21/08/10,Hamburg,Schalke 04,2,1,1,3,0.0
21/08/10,Hannover,Ein Frankfurt,2,1,1,3,0.0
21/08/10,Hoffenheim,Werder Bremen,4,1,1,5,0.0
21/08/10,M'gladbach,Nurnberg,1,1,1,2,0.0
22/08/10,Dortmund,Leverkusen,0,2,0,2,0.0
22/08/10,Mainz,Stuttgart,2,0,0,2,0.0
27/08/10,Kaiserslautern,Bayern Munich,2,0,0,2,0.0
28/08/10,Ein Frankfurt,Hamburg,1,3,1,4,0.0
28/08/10,Nurnberg,Freiburg,1,2,1,3,0.0
28/08/10,Schalke 04,Hannover,1,2,1,3,0.0
28/08/10,St Pauli,Hoffenheim,0,1,0,1,0.0
28/08/10,Werder Bremen,FC Koln,4,2,1,6,0.0
28/08/10,Wolfsburg,Mainz,3,4,1,7,0.0
29/08/10,Leverkusen,M'gladbach,3,6,1,9,0.0
29/08/10,Stuttgart,Dortmund,1,3,1,4,0.0
10/09/10,Hoffenheim,Schalke 04,2,0,0,2,0.2583333333333333
11/09/10,Bayern Munich,Werder Bremen,0,0,0,0,0.2583333333333333
11/09/10,Dortmund,Wolfsburg,2,0,0,2,0.12916666666666665
11/09/10,Freiburg,Stuttgart,2,1,1,3,0.12916666666666665
11/09/10,Hamburg,Nurnberg,1,1,1,2,0.2583333333333333
11/09/10,Hannover,Leverkusen,2,2,1,4,0.12916666666666665
11/09/10,M'gladbach,Ein Frankfurt,0,4,0,4,0.2583333333333333
12/09/10,FC Koln,St Pauli,1,0,0,1,0.2583333333333333
12/09/10,Mainz,Kaiserslautern,2,1,1,3,0.12916666666666665
17/09/10,Ein Frankfurt,Freiburg,0,1,0,1,0.2583333333333333
18/09/10,Bayern Munich,FC Koln,0,0,0,0,0.1958333333333333
18/09/10,Kaiserslautern,Hoffenheim,2,2,1,4,0.0
18/09/10,Stuttgart,M'gladbach,7,0,0,7,0.2583333333333333
18/09/10,Werder Bremen,Mainz,0,2,0,2,0.2583333333333333
18/09/10,Wolfsburg,Hannover,2,0,0,2,0.2583333333333333
19/09/10,Leverkusen,Nurnberg,0,0,0,0,0.32499999999999996
19/09/10,Schalke 04,Dortmund,1,3,1,4,0.2583333333333333
19/09/10,St Pauli,Hamburg,1,1,1,2,0.12916666666666665
21/09/10,Hannover,Werder Bremen,4,1,1,5,0.2625
21/09/10,Hoffenheim,Bayern Munich,1,2,1,3,0.06666666666666667
21/09/10,Mainz,FC Koln,2,0,0,2,0.1958333333333333
22/09/10,Dortmund,Kaiserslautern,5,0,0,5,0.19583333333333333
22/09/10,Freiburg,Schalke 04,1,2,1,3,0.2625
22/09/10,Hamburg,Wolfsburg,1,3,1,4,0.2625
22/09/10,Leverkusen,Ein Frankfurt,2,1,1,3,0.13333333333333333
22/09/10,M'gladbach,St Pauli,1,2,1,3,0.13333333333333333
22/09/10,Nurnberg,Stuttgart,2,1,1,3,0.2583333333333333
24/09/10,FC Koln,Hoffenheim,1,1,1,2,0.1958333333333333
25/09/10,Bayern Munich,Mainz,1,2,1,3,0.09166666666666667
25/09/10,Ein Frankfurt,Nurnberg,2,0,0,2,0.15833333333333333
25/09/10,Schalke 04,M'gladbach,2,2,1,4,0.2625
25/09/10,St Pauli,Dortmund,1,3,1,4,0.32499999999999996
25/09/10,Stuttgart,Leverkusen,1,4,1,5,0.1958333333333333
25/09/10,Werder Bremen,Hamburg,3,2,1,5,0.2625
26/09/10,Kaiserslautern,Hannover,0,1,0,1,0.1958333333333333
26/09/10,Wolfsburg,Freiburg,2,1,1,3,0.13333333333333333
01/10/10,Hannover,St Pauli,0,1,0,1,0.375
02/10/10,Freiburg,FC Koln,3,2,1,5,0.24583333333333332
02/10/10,Hamburg,Kaiserslautern,2,1,1,3,0.3125
02/10/10,Mainz,Hoffenheim,4,2,1,6,0.2625
02/10/10,M'gladbach,Wolfsburg,1,1,1,2,0.30833333333333335
02/10/10,Nurnberg,Schalke 04,2,1,1,3,0.35
03/10/10,Dortmund,Bayern Munich,2,0,0,2,0.12916666666666665
03/10/10,Leverkusen,Werder Bremen,2,2,1,4,0.30833333333333335
03/10/10,Stuttgart,Ein Frankfurt,1,2,1,3,0.30833333333333335
15/10/10,FC Koln,Dortmund,1,2,1,3,0.375
16/10/10,Bayern Munich,Hannover,3,0,0,3,0.17916666666666667
16/10/10,Mainz,Hamburg,0,1,0,1,0.375
16/10/10,Schalke 04,Stuttgart,2,2,1,4,0.41666666666666663
16/10/10,St Pauli,Nurnberg,3,2,1,5,0.24583333333333335
16/10/10,Werder Bremen,Freiburg,2,1,1,3,0.30833333333333335
16/10/10,Wolfsburg,Leverkusen,2,3,1,5,0.35
17/10/10,Hoffenheim,M'gladbach,3,2,1,5,0.30833333333333335
17/10/10,Kaiserslautern,Ein Frankfurt,0,3,0,3,0.2875
22/10/10,Hamburg,Bayern Munich,0,0,0,0,0.3125
23/10/10,Ein Frankfurt,Schalke 04,0,0,0,0,0.24583333333333332
23/10/10,Freiburg,Kaiserslautern,2,1,1,3,0.42500000000000004
23/10/10,Hannover,FC Koln,2,1,1,3,0.27083333333333337
23/10/10,M'gladbach,Werder Bremen,1,4,1,5,0.44166666666666665
23/10/10,Nurnberg,Wolfsburg,2,1,1,3,0.44166666666666665
24/10/10,Dortmund,Hoffenheim,1,1,1,2,0.22083333333333333
24/10/10,Leverkusen,Mainz,0,1,0,1,0.375
24/10/10,Stuttgart,St Pauli,2,0,0,2,0.3125
29/10/10,Bayern Munich,Freiburg,4,2,1,6,0.2875
30/10/10,FC Koln,Hamburg,3,2,1,5,0.3375
30/10/10,Kaiserslautern,M'gladbach,3,0,0,3,0.24583333333333332
30/10/10,Schalke 04,Leverkusen,0,1,0,1,0.4666666666666667
30/10/10,St Pauli,Ein Frankfurt,1,3,1,4,0.3125
30/10/10,Werder Bremen,Nurnberg,2,3,1,5,0.375
30/10/10,Wolfsburg,Stuttgart,2,0,0,2,0.44166666666666665
31/10/10,Hoffenheim,Hannover,4,0,0,4,0.24583333333333332
31/10/10,Mainz,Dortmund,0,2,0,2,0.3375
05/11/10,Schalke 04,St Pauli,3,0,0,3,0.14166666666666666
06/11/10,Ein Frankfurt,Wolfsburg,3,1,1,4,0.24583333333333332
06/11/10,Freiburg,Mainz,1,0,0,1,0.3375
06/11/10,Hamburg,Hoffenheim,2,1,1,3,0.36250000000000004
06/11/10,M'gladbach,Bayern Munich,3,3,1,6,0.24583333333333332
06/11/10,Nurnberg,FC Koln,3,1,1,4,0.44166666666666665
07/11/10,Hannover,Dortmund,0,4,0,4,0.29583333333333334
07/11/10,Leverkusen,Kaiserslautern,3,1,1,4,0.3125
07/11/10,Stuttgart,Werder Bremen,6,0,0,6,0.3125
12/11/10,Dortmund,Hamburg,2,0,0,2,0.30833333333333335
13/11/10,FC Koln,M'gladbach,0,4,0,4,0.3125
13/11/10,Kaiserslautern,Stuttgart,3,3,1,6,0.14166666666666666
13/11/10,Mainz,Hannover,0,1,0,1,0.025
13/11/10,St Pauli,Leverkusen,0,1,0,1,0.36250000000000004
13/11/10,Werder Bremen,Ein Frankfurt,0,0,0,0,0.4
13/11/10,Wolfsburg,Schalke 04,2,2,1,4,0.18333333333333335
14/11/10,Bayern Munich,Nurnberg,3,0,0,3,0.35
14/11/10,Hoffenheim,Freiburg,0,1,0,1,0.3125
20/11/10,Ein Frankfurt,Hoffenheim,0,4,0,4,0.375
20/11/10,Freiburg,Dortmund,1,2,1,3,0.16666666666666669
20/11/10,Hannover,Hamburg,3,2,1,5,0.18333333333333335
20/11/10,Leverkusen,Bayern Munich,1,1,1,2,0.33333333333333337
20/11/10,M'gladbach,Mainz,2,3,1,5,0.27083333333333337
20/11/10,Nurnberg,Kaiserslautern,1,3,1,4,0.4666666666666667
20/11/10,Schalke 04,Werder Bremen,4,0,0,4,0.16666666666666669
21/11/10,St Pauli,Wolfsburg,1,1,1,2,0.36250000000000004
21/11/10,Stuttgart,FC Koln,0,1,0,1,0.2708333333333333
26/11/10,Mainz,Nurnberg,3,0,0,3,0.11666666666666667
27/11/10,Bayern Munich,Ein Frankfurt,4,1,1,5,0.18333333333333335
27/11/10,Dortmund,M'gladbach,4,1,1,5,0.11666666666666667
27/11/10,Hamburg,Stuttgart,4,2,1,6,0.35833333333333334
27/11/10,Hannover,Freiburg,3,0,0,3,0.27083333333333337
27/11/10,Hoffenheim,Leverkusen,2,2,1,4,0.1
27/11/10,Kaiserslautern,Schalke 04,5,0,0,5,0.30833333333333335
28/11/10,FC Koln,Wolfsburg,1,1,1,2,0.36250000000000004
28/11/10,Werder Bremen,St Pauli,3,0,0,3,0.14166666666666666
03/12/10,St Pauli,Kaiserslautern,1,0,0,1,0.42500000000000004
04/12/10,Ein Frankfurt,Mainz,2,1,1,3,0.22083333333333333
04/12/10,Freiburg,Hamburg,1,0,0,1,0.33333333333333337
04/12/10,M'gladbach,Hannover,1,2,1,3,0.24583333333333335
04/12/10,Schalke 04,Bayern Munich,2,0,0,2,0.22083333333333333
04/12/10,Stuttgart,Hoffenheim,1,1,1,2,0.14166666666666666
04/12/10,Wolfsburg,Werder Bremen,0,0,0,0,0.22916666666666669
05/12/10,Leverkusen,FC Koln,3,2,1,5,0.3375
05/12/10,Nurnberg,Dortmund,0,2,0,2,0.4
10/12/10,Hannover,Stuttgart,2,1,1,3,0.3125
11/12/10,Bayern Munich,St Pauli,3,0,0,3,0.15416666666666667
11/12/10,Dortmund,Werder Bremen,2,0,0,2,0.17916666666666667
11/12/10,FC Koln,Ein Frankfurt,1,0,0,1,0.33333333333333337
11/12/10,Hamburg,Leverkusen,2,4,1,6,0.375
11/12/10,Hoffenheim,Nurnberg,1,1,1,2,0.20416666666666666
11/12/10,Kaiserslautern,Wolfsburg,0,0,0,0,0.3125
12/12/10,Freiburg,M'gladbach,3,0,0,3,0.24583333333333335
12/12/10,Mainz,Schalke 04,0,1,0,1,0.09166666666666667
17/12/10,M'gladbach,Hamburg,1,2,1,3,0.3375
18/12/10,Ein Frankfurt,Dortmund,1,0,0,1,0.22083333333333333
18/12/10,Nurnberg,Hannover,3,1,1,4,0.24583333333333332
18/12/10,Schalke 04,FC Koln,3,0,0,3,0.17916666666666667
18/12/10,St Pauli,Mainz,2,4,1,6,0.2875
18/12/10,Werder Bremen,Kaiserslautern,1,2,1,3,0.16666666666666669
18/12/10,Wolfsburg,Hoffenheim,2,2,1,4,0.27083333333333337
19/12/10,Leverkusen,Freiburg,2,2,1,4,0.2708333333333333
19/12/10,Stuttgart,Bayern Munich,3,5,1,8,0.22083333333333333
14/01/11,Leverkusen,Dortmund,1,3,1,4,0.27083333333333337
15/01/11,Nurnberg,M'gladbach,0,1,0,1,0.24583333333333335
15/01/11,Schalke 04,Hamburg,0,1,0,1,0.15416666666666667
15/01/11,St Pauli,Freiburg,2,2,1,4,0.30833333333333335
15/01/11,Stuttgart,Mainz,1,0,0,1,0.41666666666666663
15/01/11,Werder Bremen,Hoffenheim,2,1,1,3,0.375
15/01/11,Wolfsburg,Bayern Munich,1,1,1,2,0.33333333333333337
16/01/11,Ein Frankfurt,Hannover,0,3,0,3,0.2875
16/01/11,Kaiserslautern,FC Koln,1,1,1,2,0.11666666666666667
21/01/11,Hamburg,Ein Frankfurt,1,0,0,1,0.3125
22/01/11,Bayern Munich,Kaiserslautern,5,1,1,6,0.27083333333333337
22/01/11,Dortmund,Stuttgart,1,1,1,2,0.3125
22/01/11,FC Koln,Werder Bremen,3,0,0,3,0.09166666666666667
22/01/11,Freiburg,Nurnberg,1,1,1,2,0.17916666666666667
22/01/11,Hannover,Schalke 04,0,1,0,1,0.17916666666666667
22/01/11,Mainz,Wolfsburg,0,1,0,1,0.11666666666666667
23/01/11,Hoffenheim,St Pauli,2,2,1,4,0.19583333333333333
23/01/11,M'gladbach,Leverkusen,1,3,1,4,0.44166666666666665
28/01/11,Leverkusen,Hannover,2,0,0,2,0.3375
29/01/11,Kaiserslautern,Mainz,0,1,0,1,0.27083333333333337
29/01/11,Nurnberg,Hamburg,2,0,0,2,0.18333333333333335
29/01/11,Schalke 04,Hoffenheim,0,1,0,1,0.22083333333333333
29/01/11,St Pauli,FC Koln,3,0,0,3,0.375
29/01/11,Werder Bremen,Bayern Munich,1,3,1,4,0.41666666666666663
29/01/11,Wolfsburg,Dortmund,0,3,0,3,0.375
30/01/11,Ein Frankfurt,M'gladbach,0,1,0,1,0.05
30/01/11,Stuttgart,Freiburg,0,1,0,1,0.2875
04/02/11,Dortmund,Schalke 04,0,0,0,0,0.17916666666666667
05/02/11,FC Koln,Bayern Munich,3,2,1,5,0.24583333333333332
05/02/11,Hannover,Wolfsburg,1,0,0,1,0.14166666666666666
05/02/11,Hoffenheim,Kaiserslautern,3,2,1,5,0.44166666666666665
05/02/11,Mainz,Werder Bremen,1,1,1,2,0.0
05/02/11,M'gladbach,Stuttgart,2,3,1,5,0.4916666666666667
05/02/11,Nurnberg,Leverkusen,1,0,0,1,0.24583333333333332
06/02/11,Freiburg,Ein Frankfurt,0,0,0,0,0.17916666666666667
12/02/11,Bayern Munich,Hoffenheim,4,0,0,4,0.27083333333333337
12/02/11,Ein Frankfurt,Leverkusen,0,3,0,3,0.14166666666666666
12/02/11,Kaiserslautern,Dortmund,1,1,1,2,0.13333333333333333
12/02/11,Schalke 04,Freiburg,1,0,0,1,0.09166666666666667
12/02/11,St Pauli,M'gladbach,3,1,1,4,0.11666666666666667
12/02/11,Stuttgart,Nurnberg,1,4,1,5,0.24583333333333335
12/02/11,Wolfsburg,Hamburg,0,1,0,1,0.11666666666666667
13/02/11,FC Koln,Mainz,4,2,1,6,0.20416666666666666
13/02/11,Werder Bremen,Hannover,1,1,1,2,0.2708333333333333
16/02/11,Hamburg,St Pauli,0,1,0,1,0.24583333333333332
18/02/11,Nurnberg,Ein Frankfurt,3,0,0,3,0.05
19/02/11,Dortmund,St Pauli,2,0,0,2,0.15833333333333333
19/02/11,Freiburg,Wolfsburg,2,1,1,3,0.09166666666666667
19/02/11,Hamburg,Werder Bremen,4,0,0,4,0.17916666666666664
19/02/11,Hannover,Kaiserslautern,3,0,0,3,0.24583333333333332
19/02/11,Hoffenheim,FC Koln,1,1,1,2,0.3375
19/02/11,Mainz,Bayern Munich,1,3,1,4,0.375
20/02/11,Leverkusen,Stuttgart,4,2,1,6,0.36250000000000004
20/02/11,M'gladbach,Schalke 04,2,1,1,3,0.24583333333333335
25/02/11,Wolfsburg,M'gladbach,2,1,1,3,0.17916666666666664
26/02/11,Bayern Munich,Dortmund,1,3,1,4,0.24583333333333335
26/02/11,FC Koln,Freiburg,1,0,0,1,0.24583333333333335
26/02/11,Hoffenheim,Mainz,1,2,1,3,0.4
26/02/11,Kaiserslautern,Hamburg,1,1,1,2,0.17916666666666667
26/02/11,Schalke 04,Nurnberg,1,1,1,2,0.22083333333333333
26/02/11,St Pauli,Hannover,0,1,0,1,0.33333333333333337
27/02/11,Ein Frankfurt,Stuttgart,0,2,0,2,0.24583333333333335
27/02/11,Werder Bremen,Leverkusen,2,2,1,4,0.29583333333333334
04/03/11,Dortmund,FC Koln,1,0,0,1,0.17916666666666667
05/03/11,Ein Frankfurt,Kaiserslautern,0,0,0,0,0.11666666666666667
05/03/11,Hannover,Bayern Munich,3,1,1,4,0.27083333333333337
05/03/11,Leverkusen,Wolfsburg,3,0,0,3,0.30833333333333335
05/03/11,M'gladbach,Hoffenheim,2,0,0,2,0.29583333333333334
05/03/11,Nurnberg,St Pauli,5,0,0,5,0.025
05/03/11,Stuttgart,Schalke 04,1,0,0,1,0.2833333333333333
06/03/11,Freiburg,Werder Bremen,1,3,1,4,0.22083333333333333
06/03/11,Hamburg,Mainz,2,4,1,6,0.22083333333333333
11/03/11,FC Koln,Hannover,4,0,0,4,0.15833333333333333
12/03/11,Bayern Munich,Hamburg,6,0,0,6,0.2833333333333333
12/03/11,Hoffenheim,Dortmund,1,0,0,1,0.4666666666666667
12/03/11,Kaiserslautern,Freiburg,2,1,1,3,0.24583333333333332
12/03/11,Schalke 04,Ein Frankfurt,2,1,1,3,0.12916666666666665
12/03/11,Werder Bremen,M'gladbach,1,1,1,2,0.44166666666666665
12/03/11,Wolfsburg,Nurnberg,1,2,1,3,0.4
13/03/11,Mainz,Leverkusen,0,1,0,1,0.35
13/03/11,St Pauli,Stuttgart,1,2,1,3,0.20833333333333334
18/03/11,M'gladbach,Kaiserslautern,0,1,0,1,0.16666666666666669
19/03/11,Dortmund,Mainz,1,1,1,2,0.24583333333333332
19/03/11,Ein Frankfurt,St Pauli,2,1,1,3,0.025
19/03/11,Freiburg,Bayern Munich,1,2,1,3,0.4666666666666667
19/03/11,Hamburg,FC Koln,6,2,1,8,0.22083333333333333
19/03/11,Hannover,Hoffenheim,2,0,0,2,0.15416666666666665
19/03/11,Nurnberg,Werder Bremen,1,3,1,4,0.15416666666666667
20/03/11,Leverkusen,Schalke 04,2,0,0,2,0.15833333333333333
20/03/11,Stuttgart,Wolfsburg,1,1,1,2,0.13333333333333333
01/04/11,St Pauli,Schalke 04,0,2,0,2,0.17916666666666667
02/04/11,Bayern Munich,M'gladbach,1,0,0,1,0.3125
02/04/11,Dortmund,Hannover,4,1,1,5,0.15416666666666665
02/04/11,Hoffenheim,Hamburg,0,0,0,0,0.18333333333333335
02/04/11,Kaiserslautern,Leverkusen,0,1,0,1,0.2875
02/04/11,Mainz,Freiburg,1,1,1,2,0.22083333333333333
02/04/11,Werder Bremen,Stuttgart,1,1,1,2,0.42500000000000004
03/04/11,FC Koln,Nurnberg,1,0,0,1,0.29583333333333334
03/04/11,Wolfsburg,Ein Frankfurt,1,1,1,2,0.32499999999999996
08/04/11,Ein Frankfurt,Werder Bremen,1,1,1,2,0.35
09/04/11,Freiburg,Hoffenheim,3,2,1,5,0.22083333333333333
09/04/11,Hamburg,Dortmund,1,1,1,2,0.2875
09/04/11,Hannover,Mainz,2,0,0,2,0.3125
09/04/11,Nurnberg,Bayern Munich,1,1,1,2,0.375
09/04/11,Schalke 04,Wolfsburg,1,0,0,1,0.35
09/04/11,Stuttgart,Kaiserslautern,2,4,1,6,0.17916666666666667
10/04/11,Leverkusen,St Pauli,2,1,1,3,0.15416666666666665
10/04/11,M'gladbach,FC Koln,5,1,1,6,0.20416666666666666
15/04/11,Mainz,M'gladbach,1,0,0,1,0.29583333333333334
16/04/11,FC Koln,Stuttgart,1,3,1,4,0.24583333333333332
16/04/11,Hamburg,Hannover,0,0,0,0,0.375
16/04/11,Hoffenheim,Ein Frankfurt,1,0,0,1,0.24583333333333335
16/04/11,Kaiserslautern,Nurnberg,0,2,0,2,0.23333333333333334
16/04/11,Werder Bremen,Schalke 04,1,1,1,2,0.27083333333333337
