Date,HomeTeam,AwayTeam,FTHG,FTAG,A&H Scored?,Note Match Beta
06/08/10,Roda,Twente,0.0,0.0,,0.0
07/08/10,Graafschap,Excelsior,3.0,0.0,,0.0
07/08/10,Heerenveen,PSV Eindhoven,1.0,3.0,1,0.07547846285916275
07/08/10,Heracles,Willem II,3.0,0.0,,0.0
07/08/10,Nijmegen,VVV Venlo,1.0,0.0,,0.0
08/08/10,Feyenoord,Utrecht,3.0,1.0,1,0.07547846285916275
08/08/10,Groningen,Ajax,2.0,2.0,1,0.07547846285916275
08/08/10,NAC Breda,AZ Alkmaar,1.0,1.0,1,0.07547846285916275
08/08/10,Vitesse,Den Haag,3.0,1.0,1,0.07547846285916275
14/08/10,Ajax,Vitesse,4.0,2.0,1,0.1509569257183255
14/08/10,AZ Alkmaar,Groningen,1.0,1.0,1,0.1509569257183255
14/08/10,PSV Eindhoven,Graafschap,6.0,0.0,,0.037739231429581375
14/08/10,Twente,Heerenveen,0.0,0.0,,0.037739231429581375
14/08/10,VVV Venlo,Heracles,1.0,0.0,,0.0
15/08/10,Den Haag,Roda,1.0,3.0,1,0.11321769428874412
15/08/10,Excelsior,Feyenoord,3.0,2.0,1,0.11321769428874412
15/08/10,Utrecht,NAC Breda,3.0,1.0,1,0.1509569257183255
15/08/10,Willem II,Nijmegen,3.0,5.0,1,0.07547846285916275
20/08/10,Excelsior,Nijmegen,4.0,2.0,1,0.1509569257183255
21/08/10,Ajax,Roda,3.0,0.0,,0.11321769428874412
21/08/10,Groningen,Graafschap,2.0,1.0,1,0.1509569257183255
21/08/10,Heerenveen,NAC Breda,3.0,1.0,1,0.18869615714790688
21/08/10,Vitesse,Twente,0.0,3.0,,0.07547846285916275
22/08/10,Heracles,Feyenoord,1.0,1.0,1,0.1509569257183255
22/08/10,PSV Eindhoven,AZ Alkmaar,3.0,1.0,1,0.18869615714790688
22/08/10,Utrecht,Willem II,3.0,0.0,,0.11321769428874412
22/08/10,VVV Venlo,Den Haag,2.0,3.0,1,0.1509569257183255
27/08/10,Willem II,Groningen,0.0,3.0,,0.1509569257183255
28/08/10,NAC Breda,VVV Venlo,2.0,0.0,,0.1509569257183255
28/08/10,Nijmegen,Heerenveen,2.0,2.0,1,0.22643538857748824
28/08/10,Roda,Heracles,4.0,2.0,1,0.1509569257183255
29/08/10,AZ Alkmaar,Excelsior,1.0,1.0,1,0.2641746200070696
29/08/10,Den Haag,PSV Eindhoven,2.0,2.0,1,0.2641746200070696
29/08/10,Feyenoord,Vitesse,4.0,0.0,,0.18869615714790688
29/08/10,Graafschap,Ajax,0.0,5.0,,0.11321769428874412
29/08/10,Twente,Utrecht,4.0,0.0,,0.07547846285916275
11/09/10,Ajax,Willem II,2.0,0.0,,0.11321769428874412
11/09/10,AZ Alkmaar,Roda,1.0,2.0,1,0.301913851436651
11/09/10,Excelsior,Heracles,2.0,1.0,1,0.2641746200070696
11/09/10,Heerenveen,Vitesse,2.0,1.0,1,0.2641746200070696
11/09/10,PSV Eindhoven,Nijmegen,3.0,1.0,1,0.301913851436651
11/09/10,VVV Venlo,Twente,1.0,2.0,1,0.11321769428874412
12/09/10,Den Haag,Graafschap,2.0,2.0,1,0.26417462000706965
12/09/10,Groningen,Utrecht,1.0,0.0,,0.18869615714790688
12/09/10,NAC Breda,Feyenoord,2.0,0.0,,0.22643538857748824
17/09/10,Graafschap,Heerenveen,3.0,2.0,1,0.301913851436651
18/09/10,Groningen,Excelsior,2.0,0.0,,0.2641746200070696
18/09/10,Vitesse,NAC Breda,0.0,0.0,,0.22643538857748824
18/09/10,Willem II,Den Haag,2.0,4.0,1,0.301913851436651
19/09/10,Feyenoord,Ajax,1.0,2.0,1,0.2641746200070696
19/09/10,Heracles,Twente,0.0,0.0,,0.1509569257183255
19/09/10,Nijmegen,AZ Alkmaar,0.0,1.0,,0.3396530828662324
19/09/10,Roda,PSV Eindhoven,0.0,0.0,,0.2641746200070696
19/09/10,Utrecht,VVV Venlo,3.0,2.0,1,0.22643538857748824
25/09/10,AZ Alkmaar,Utrecht,1.0,0.0,,0.301913851436651
25/09/10,Den Haag,Heracles,3.0,2.0,1,0.4151315457253951
25/09/10,Heerenveen,Roda,2.0,2.0,1,0.37739231429581377
25/09/10,PSV Eindhoven,Groningen,1.0,1.0,1,0.3396530828662324
25/09/10,Twente,Ajax,2.0,2.0,1,0.22643538857748824
26/09/10,Excelsior,Vitesse,0.0,2.0,,0.2641746200070696
26/09/10,NAC Breda,Willem II,2.0,1.0,1,0.2641746200070696
26/09/10,Nijmegen,Feyenoord,3.0,0.0,,0.301913851436651
