Date,HomeTeam,AwayTeam,FTHG,FTAG,HA_Scored,Total_Goals,Note
06/08/10,Roda,Twente,0,0,0,0,0.0
07/08/10,Graafschap,Excelsior,3,0,0,3,0.0
07/08/10,Heerenveen,PSV Eindhoven,1,3,1,4,0.0
07/08/10,Heracles,Willem II,3,0,0,3,0.0
07/08/10,Nijmegen,VVV Venlo,1,0,0,1,0.0
08/08/10,Feyenoord,Utrecht,3,1,1,4,0.0
08/08/10,Groningen,Ajax,2,2,1,4,0.0
08/08/10,NAC Breda,AZ Alkmaar,1,1,1,2,0.0
08/08/10,Vitesse,Den Haag,3,1,1,4,0.0
14/08/10,Ajax,Vitesse,4,2,1,6,0.043854889341436505
14/08/10,AZ Alkmaar,Groningen,1,1,1,2,0.04159481532214746
14/08/10,PSV Eindhoven,Graafschap,6,0,0,6,0.021927444670718253
14/08/10,Twente,Heerenveen,0,0,0,0,0.021927444670718253
14/08/10,VVV Venlo,Heracles,1,0,0,1,0.0
15/08/10,Den Haag,Roda,1,3,1,4,0.021927444670718253
15/08/10,Excelsior,Feyenoord,3,2,1,5,0.021927444670718253
15/08/10,Utrecht,NAC Breda,3,1,1,4,0.04159481532214746
15/08/10,Willem II,Nijmegen,3,5,1,8,0.0
20/08/10,Excelsior,Nijmegen,4,2,1,6,0.13350355960883237
21/08/10,Ajax,Roda,3,0,0,3,0.15453132411885487
21/08/10,Groningen,Graafschap,2,1,1,3,0.08398084699173136
21/08/10,Heerenveen,NAC Breda,3,1,1,4,0.1507424194517879
21/08/10,Vitesse,Twente,0,3,0,3,0.0875665632668645
22/08/10,Heracles,Feyenoord,1,1,1,2,0.08846628895175175
22/08/10,PSV Eindhoven,AZ Alkmaar,3,1,1,4,0.0991280696045825
22/08/10,Utrecht,Willem II,3,0,0,3,0.11003135045880597
22/08/10,VVV Venlo,Den Haag,2,3,1,5,0.08770977868287301
27/08/10,Willem II,Groningen,0,3,0,3,0.16670746001477038
28/08/10,NAC Breda,VVV Venlo,2,0,0,2,0.12503661605606864
28/08/10,Nijmegen,Heerenveen,2,2,1,4,0.08698145192417747
28/08/10,Roda,Heracles,4,2,1,6,0.03814427614043372
29/08/10,AZ Alkmaar,Excelsior,1,1,1,2,0.1450503905154402
29/08/10,Den Haag,PSV Eindhoven,2,2,1,4,0.1971095529021397
29/08/10,Feyenoord,Vitesse,4,0,0,4,0.19442303050041762
29/08/10,Graafschap,Ajax,0,5,0,5,0.1053861087545833
29/08/10,Twente,Utrecht,4,0,0,4,0.0818287453733425
11/09/10,Ajax,Willem II,2,0,0,2,0.08727266093893772
11/09/10,AZ Alkmaar,Roda,1,2,1,3,0.23730360417639684
11/09/10,Excelsior,Heracles,2,1,1,3,0.23951667645585561
11/09/10,Heerenveen,Vitesse,2,1,1,3,0.22677235410699317
11/09/10,PSV Eindhoven,Nijmegen,3,1,1,4,0.2638820711162376
11/09/10,VVV Venlo,Twente,1,2,1,3,0.0555642789345323
12/09/10,Den Haag,Graafschap,2,2,1,4,0.23565995106428445
12/09/10,Groningen,Utrecht,1,0,0,1,0.22530894304513246
12/09/10,NAC Breda,Feyenoord,2,0,0,2,0.23760826847935515
17/09/10,Graafschap,Heerenveen,3,2,1,5,0.15417557795101794
18/09/10,Groningen,Excelsior,2,0,0,2,0.2442591227444009
18/09/10,Vitesse,NAC Breda,0,0,0,0,0.22155576740816002
18/09/10,Willem II,Den Haag,2,4,1,6,0.2385840876785124
19/09/10,Feyenoord,Ajax,1,2,1,3,0.14307477973204785
19/09/10,Heracles,Twente,0,0,0,0,0.15817368384491637
19/09/10,Nijmegen,AZ Alkmaar,0,1,0,1,0.30790783667644567
19/09/10,Roda,PSV Eindhoven,0,0,0,0,0.2705872094024595
19/09/10,Utrecht,VVV Venlo,3,2,1,5,0.09764357789382204
25/09/10,AZ Alkmaar,Utrecht,1,0,0,1,0.26199641303940285
25/09/10,Den Haag,Heracles,3,2,1,5,0.3886726817244313
25/09/10,Heerenveen,Roda,2,2,1,4,0.3528863328125749
25/09/10,PSV Eindhoven,Groningen,1,1,1,2,0.21709058242677015
25/09/10,Twente,Ajax,2,2,1,4,0.12648900055101472
26/09/10,Excelsior,Vitesse,0,2,0,2,0.3109852725143949
26/09/10,NAC Breda,Willem II,2,1,1,3,0.06946818798818499
26/09/10,Nijmegen,Feyenoord,3,0,0,3,0.22710442035038267
26/09/10,VVV Venlo,Graafschap,1,0,0,1,0.297930573624467
01/10/10,Vitesse,Willem II,0,0,0,0,0.13789340158687602
02/10/10,Excelsior,Roda,1,2,1,3,0.3604924732791523
02/10/10,NAC Breda,Nijmegen,2,0,0,2,0.2931770987115356
03/10/10,Ajax,Utrecht,1,2,1,3,0.14182554315199314
03/10/10,AZ Alkmaar,Heracles,2,1,1,3,0.37201857778053693
03/10/10,Graafschap,Feyenoord,1,1,1,2,0.18672697308501673
03/10/10,Heerenveen,Den Haag,0,0,0,0,0.5374412035918028
03/10/10,PSV Eindhoven,VVV Venlo,3,0,0,3,0.28925540103145025
03/10/10,Twente,Groningen,4,2,1,6,0.18409895733406031
16/10/10,Ajax,NAC Breda,3,0,0,3,0.2579596887714662
16/10/10,Den Haag,Excelsior,2,1,1,3,0.3584586063854063
16/10/10,Feyenoord,Twente,0,1,0,1,0.22267169857455044
16/10/10,Utrecht,Graafschap,2,2,1,4,0.26741995067130614
16/10/10,VVV Venlo,AZ Alkmaar,0,1,0,1,0.24746851483403318
17/10/10,Groningen,Heerenveen,1,0,0,1,0.28636891363091455
17/10/10,Heracles,Nijmegen,3,2,1,5,0.2713381888265684
17/10/10,Roda,Vitesse,4,1,1,5,0.19440300585170656
17/10/10,Willem II,PSV Eindhoven,2,4,1,6,0.2590748692104464
22/10/10,NAC Breda,Roda,1,2,1,3,0.27968018161079894
23/10/10,Graafschap,Heracles,1,1,1,2,0.4243773157077074
23/10/10,Heerenveen,VVV Venlo,2,0,0,2,0.240641004424377
23/10/10,Nijmegen,Groningen,3,2,1,5,0.22125798564873855
24/10/10,AZ Alkmaar,Willem II,3,0,0,3,0.2651044735822471
24/10/10,Excelsior,Ajax,2,2,1,4,0.3929856531413179
24/10/10,PSV Eindhoven,Feyenoord,10,0,0,10,0.3047990663546915
24/10/10,Twente,Den Haag,3,2,1,5,0.3322105595082969
24/10/10,Vitesse,Utrecht,1,4,1,5,0.14948019292355025
26/10/10,Heracles ,NAC Breda,4,1,1,5,0.10213316047911422
26/10/10,Roda ,Nijmegen,1,1,1,2,0.20195255878593588
27/10/10,Ajax ,Heerenveen,3,1,1,4,0.1137499850227118
27/10/10,Feyenoord ,VVV Venlo,3,0,0,3,0.015771859224362063
27/10/10,Graafschap ,AZ Alkmaar,2,1,1,3,0.09119963536256673
27/10/10,Groningen ,Den Haag,3,1,1,4,0.23078691472925622
27/10/10,Utrecht ,Excelsior,2,0,0,2,0.15482478046220066
27/10/10,Vitesse ,PSV Eindhoven,0,2,0,2,0.17614660151419162
27/10/10,Willem II ,Twente,1,3,1,4,0.09055630049986703
30/10/10,Excelsior,Heerenveen,0,2,0,2,0.3997418374910261
30/10/10,Heracles,Ajax,1,4,1,5,0.4090575796269227
30/10/10,NAC Breda,Graafschap,2,0,0,2,0.3226506333840495
30/10/10,PSV Eindhoven,Twente,0,1,0,1,0.2615759023504138
30/10/10,VVV Venlo,Groningen,3,5,1,8,0.27020872466438206
31/10/10,AZ Alkmaar,Feyenoord,2,1,1,3,0.21982100282523903
31/10/10,Den Haag,Utrecht,1,0,0,1,0.4606834106569262
31/10/10,Nijmegen,Vitesse,0,0,0,0,0.27469808521775085
31/10/10,Roda,Willem II,2,2,1,4,0.2507124475051059
05/11/10,Willem II,VVV Venlo,1,4,1,5,0.22607598078669805
06/11/10,Graafschap,Nijmegen,1,4,1,5,0.41951917210507195
06/11/10,Groningen,NAC Breda,2,1,1,3,0.24196349747935525
06/11/10,Heerenveen,Heracles,3,2,1,5,0.4341760009814479
06/11/10,Twente,Excelsior,2,1,1,3,0.3012621559876643
07/11/10,Ajax,Den Haag,0,1,0,1,0.37579601077959607
07/11/10,Feyenoord,Roda,1,1,1,2,0.41692929073445456
07/11/10,Utrecht,PSV Eindhoven,1,2,1,3,0.3119673982775294
07/11/10,Vitesse,AZ Alkmaar,1,1,1,2,0.2298434366462594
13/11/10,NAC Breda,Twente,2,1,1,3,0.2535140486832004
13/11/10,PSV Eindhoven,Excelsior,4,2,1,6,0.2295690950606184
14/11/10,AZ Alkmaar,Ajax,2,0,0,2,0.4617712842851988
14/11/10,Feyenoord,Heerenveen,2,2,1,4,0.27013053753266125
14/11/10,Heracles,Groningen,3,0,0,3,0.5163180577453527
14/11/10,Nijmegen,Den Haag,1,1,1,2,0.2854991308590857
14/11/10,VVV Venlo,Vitesse,1,5,1,6,0.2670109819860704
20/11/10,Ajax,PSV Eindhoven,0,0,0,0,0.24501320905265678
20/11/10,Excelsior,VVV Venlo,1,0,0,1,0.30189401870211235
20/11/10,Graafschap,Roda,3,1,1,4,0.5707866272216897
20/11/10,Twente,AZ Alkmaar,1,2,1,3,0.4235990379002939
20/11/10,Vitesse,Heracles,2,0,0,2,0.4692226082207678
21/11/10,Den Haag,NAC Breda,3,0,0,3,0.39144795153093653
21/11/10,Groningen,Feyenoord,2,0,0,2,0.2953673902745796
21/11/10,Heerenveen,Willem II,5,0,0,5,0.3324546833780162
21/11/10,Utrecht,Nijmegen,4,0,0,4,0.49501256982213176
24/11/10,Roda,Utrecht,1,1,1,2,0.3663279316157233
24/11/10,Willem II,Graafschap,0,1,0,1,0.3734796133271211
26/11/10,NAC Breda,PSV Eindhoven,4,2,1,6,0.2782594491957725
27/11/10,AZ Alkmaar,Heerenveen,2,2,1,4,0.3098753738085217
27/11/10,Nijmegen,Twente,2,4,1,6,0.3078524589067787
27/11/10,Roda,Groningen,1,0,0,1,0.460242257789202
27/11/10,Willem II,Excelsior,1,1,1,2,0.3716260605866269
28/11/10,Feyenoord,Den Haag,2,1,1,3,0.3901735539402277
28/11/10,Graafschap,Vitesse,1,1,1,2,0.4057350684028432
28/11/10,Heracles,Utrecht,2,1,1,3,0.303158024896567
28/11/10,VVV Venlo,Ajax,0,2,0,2,0.3442311369605394
03/12/10,Groningen,Vitesse,4,1,1,5,0.2665665396395486
04/12/10,Ajax,Nijmegen,1,1,1,2,0.24741031372239453
04/12/10,PSV Eindhoven,Heracles,5,2,1,7,0.3727251850410695
04/12/10,Twente,Graafschap,2,0,0,2,0.4354721653154734
05/12/10,Den Haag,AZ Alkmaar,0,2,0,2,0.3940669618980243
05/12/10,Utrecht,Heerenveen,2,1,1,3,0.42509470959948586
05/12/10,Willem II,Feyenoord,1,1,1,2,0.34356117614349274
10/12/10,Heracles,VVV Venlo,2,2,1,4,0.2696378328741487
11/12/10,Graafschap,PSV Eindhoven,0,0,0,0,0.44913916747713784
11/12/10,NAC Breda,Utrecht,3,1,1,4,0.4072163571500509
11/12/10,Nijmegen,Willem II,3,1,1,4,0.2817986559591402
11/12/10,Roda,Den Haag,1,1,1,2,0.4205759110509638
12/12/10,Feyenoord,Excelsior,1,0,0,1,0.4594089126942151
12/12/10,Groningen,AZ Alkmaar,2,0,0,2,0.2904701605331912
12/12/10,Heerenveen,Twente,6,2,1,8,0.36413865764769265
12/12/10,Vitesse,Ajax,0,1,0,1,0.275372599445796
14/12/10,VVV Venlo,Roda,0,4,0,4,0.46593909183494264
15/12/10,Excelsior,NAC Breda,1,3,1,4,0.3164700763737441
18/12/10,Den Haag,Willem II,2,1,1,3,0.2586166929572673
18/12/10,Excelsior,Groningen,2,2,1,4,0.2777482264516592
18/12/10,Heerenveen,Graafschap,4,0,0,4,0.24582019223403553
18/12/10,NAC Breda,Vitesse,1,1,1,2,0.450653821820504
19/12/10,PSV Eindhoven,Roda,3,1,1,4,0.4029063772109984
19/01/11,Ajax,Feyenoord,2,0,0,2,0.1828070424385183
19/01/11,AZ Alkmaar,Nijmegen,2,2,1,4,0.390507460303115
19/01/11,Twente,Heracles,5,0,0,5,0.5109940814854309
19/01/11,VVV Venlo,Utrecht,1,2,1,3,0.3450577650240221
21/01/11,Den Haag,Heerenveen,3,1,1,4,0.36718933173422763
22/01/11,Feyenoord,Graafschap,0,1,0,1,0.17970137808441558
22/01/11,Heracles,AZ Alkmaar,0,0,0,0,0.3510639972083095
22/01/11,Nijmegen,NAC Breda,2,2,1,4,0.48553768938092984
22/01/11,Willem II,Vitesse,1,0,0,1,0.5207767551522198
23/01/11,Groningen,Twente,1,2,1,3,0.3116419009310825
23/01/11,Roda,Excelsior,3,0,0,3,0.4206121159905916
23/01/11,Utrecht,Ajax,3,0,0,3,0.33306243296790644
23/01/11,VVV Venlo,PSV Eindhoven,0,3,0,3,0.2833615591312987
28/01/11,Nijmegen,Heracles,1,1,1,2,0.47514930810200506
